timestamp,image_path,latitude,longitude,altitude_m,disease,confidence,accepted
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000000.jpg,40.00000000,-74.00000000,10.00,Blight,0.776952,False
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000001.jpg,40.00000000,-73.99990000,10.00,Blight,0.876557,False
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000002.jpg,40.00000000,-73.99980000,10.00,Blight,0.999921,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000003.jpg,40.00000000,-73.99970000,10.00,Blight,0.999948,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000004.jpg,40.00000000,-73.99960000,10.00,Blight,0.881224,False
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000005.jpg,40.00000000,-73.99950000,10.00,Blight,0.996283,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000006.jpg,40.00000000,-73.99940000,10.00,Blight,0.986149,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000007.jpg,40.00000000,-73.99930000,10.00,Blight,0.999024,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000008.jpg,40.00000000,-73.99920000,10.00,Blight,0.994240,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000009.jpg,40.00000000,-73.99910000,10.00,Blight,0.936047,False
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000010.jpg,40.00000000,-73.99900000,10.00,Blight,0.999022,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000011.jpg,40.00000000,-73.99890000,10.00,Blight,0.999755,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000012.jpg,40.00000000,-73.99880000,10.00,Blight,0.979425,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000013.jpg,40.00000000,-73.99870000,10.00,Blight,0.874120,False
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000014.jpg,40.00000000,-73.99860000,10.00,Blight,0.996876,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000015.jpg,40.00000000,-73.99850000,10.00,LeafSpot,0.800695,False
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000016.jpg,40.00000000,-73.99840000,10.00,Blight,0.943042,False
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000017.jpg,40.00000000,-73.99830000,10.00,Blight,0.962251,True
2026-08-10T13:25:21+03:00,datasets/crop_disease/test\Blight\test_000018.jpg,40.00000000,-73.99820000,10.00,LeafSpot,0.887159,False
